latitude,longitude,TaskID,clientName,Status,Team
24.44906299,39.67890353,61456156,,S-STCKR,waqas
24.43859798,39.68386658,61257205,,S-STCKR,waqas
24.44834435,39.67933912,61401832,,S-STCKR,waqas
24.44497347,39.62462293,61509633,,S-STCKR,waqas
24.44532326,39.68199897,61274562,,S-STCKR,waqas
24.4458931,39.6878885,61274307,,S-STCKR,waqas
24.44687983,39.68380607,61274503,,S-STCKR,waqas
24.44224288,39.67781703,61456148,,S-STCKR,waqas
24.44515613,39.68303851,61274564,,S-STCKR,waqas
24.44404399,39.68501274,61272751,,S-STCKR,waqas
24.44847506,39.67836155,61456194,,S-STCKR,waqas
24.4364101,39.68188474,61299442,,S-STCKR,waqas
24.455138,39.675684,61403521,,S-STCKR,waqas
24.4393637,39.66676556,61409146,,S-STCKR,waqas
24.44985916,39.6796828,61456180,,S-STCKR,waqas
24.44524515,39.68039057,61272761,,S-STCKR,waqas
24.44655017,39.67638878,64455122,,S-STCKR,waqas
24.4465704,39.68634162,61257695,,S-STCKR,waqas
24.44542447,39.68047301,61274524,,S-STCKR,waqas
24.44981825,39.67993237,61456021,,S-STCKR,waqas
24.43480266,39.67471646,64623839,,S-STCKR,waqas
24.43944954,39.63332748,64613790,,S-STCKR,waqas
24.43889054,39.67185859,61299624,,S-STCKR,waqas
24.450555,39.67780278,61257340,,S-STCKR,waqas
24.54204464,39.68653308,61268976,,S-STCKR,shakel
24.47865043,39.62858946,61368160,,S-STCKR,shakel
24.45759851,39.67003774,61457903,,S-STCKR,waqas
24.43914748,39.6717016,61409213,,S-STCKR,waqas
24.5626216,39.68251225,61269188,,S-STCKR,shakel
24.45052303,39.62862008,61500723,,S-STCKR,waqas
24.4507284,39.6876387,85365388,,S-STCKR,waqas
24.49017762,39.67313963,58973161,,S-STCKR,shakel
24.44934496,39.68307676,61274448,,S-STCKR,waqas
24.44642753,39.67784958,61456272,,S-STCKR,waqas
24.44455034,39.6908877,85090904,,S-STCKR,waqas
24.45434993,39.62326858,61272395,,S-STCKR,waqas
24.44491518,39.67311229,61456263,,S-STCKR,waqas
24.55167179,39.68067581,61199715,,S-STCKR,shakel
24.45661313,39.62116622,64260050,,S-STCKR,waqas
24.47974947,39.62834319,61259409,,S-STCKR,shakel
24.44488486,39.67314509,61456279,,S-STCKR,waqas
24.44595342,39.66397509,87910794,,S-STCKR,waqas
24.50196933,39.64444614,61324929,,S-STCKR,shakel
24.44890436,39.68304956,61272821,,S-STCKR,waqas
24.44468291,39.67794514,61456324,,S-STCKR,waqas
24.43747828,39.67873734,61257339,,S-STCKR,waqas
24.45071575,39.68767463,61299214,,S-STCKR,waqas
24.44509405,39.68266846,61274521,,S-STCKR,waqas
24.48149683,39.68419577,58843548,,S-STCKR,shakel
24.55147016,39.67945236,65773444,,S-STCKR,shakel
